symbol,name,exchange,sector
BRIGADE.NS,Brigade Enterprises Limited,NSE,Real Estate
BRIGHOTEL.NS,Brigade Hotel Ventures Limited,NSE,Consumer Cyclical
BRITANNIA.NS,Britannia Industries Limited,NSE,Consumer Defensive
BRNL.NS,Bharat Road Network Limited,NSE,Industrials
BROOKS.NS,Brooks Laboratories Limited,NSE,Healthcare
BSE.NS,BSE Limited,NSE,Financial Services
BSHSL.NS,Bombay Super Hybrid Seeds Limited,NSE,Basic Materials
BSL.NS,BSL Limited,NSE,Consumer Cyclical
BSOFT.NS,BIRLASOFT LIMITED,NSE,Technology
BTML.NS,Bodhi Tree Multimedia Limited,NSE,Communication Services
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,NSE,Consumer Cyclical
BVCL.NS,Barak Valley Cements Limited,NSE,Basic Materials
BYKE.NS,The Byke Hospitality Ltd,NSE,Consumer Cyclical
CALSOFT.NS,California Software Company Limited,NSE,Technology
CAMLINFINE.NS,Camlin Fine Sciences Limited,NSE,Basic Materials
CAMPUS.NS,Campus Activewear Limited,NSE,Consumer Cyclical
CAMS.NS,Computer Age Management Services Limited,NSE,Technology
CANBK.NS,Canara Bank,NSE,Financial Services
CANFINHOME.NS,Can Fin Homes Limited,NSE,Financial Services
CANHLIFE.NS,Canara HSBC Life Insurance Company Limited,NSE,Financial Services
CANTABIL.NS,Cantabil Retail India Limited,NSE,Consumer Cyclical
CAPACITE.NS,Capacit'e Infraprojects Limited,NSE,Industrials
CAPITALSFB.NS,Capital Small Finance Bank Limited,NSE,Financial Services
CAPLIPOINT.NS,Caplin Point Laboratories Limited,NSE,Healthcare
CAPTRU-RE1.NS,Capital Trust Limited-RE,NSE,Unknown
CAPTRUST.NS,Capital Trust Limited,NSE,Financial Services
CARBORUNIV.NS,Carborundum Universal Limited,NSE,Industrials
CARERATING.NS,CARE Ratings Limited,NSE,Financial Services
CARRARO.NS,Carraro India Limited,NSE,Consumer Cyclical
CARTRADE.NS,Cartrade Tech Limited,NSE,Consumer Cyclical
CARYSIL.NS,CARYSIL LIMITED,NSE,Consumer Cyclical
CASTROLIND.NS,Castrol India Limited,NSE,Energy
CCCL.NS,Consolidated Construction Consortium Limited,NSE,Industrials
CCHHL.NS,Country Club Hospitality & Holidays Limited,NSE,Consumer Cyclical
CCL.NS,CCL Products (India) Limited,NSE,Consumer Defensive
CDSL.NS,Central Depository Services (India) Limited,NSE,Financial Services
CEATLTD.NS,CEAT Limited,NSE,Consumer Cyclical
